arm,iteration,frame_id,seconds,full/psnr,dynamic/psnr,dynamic/lpips_alex,motion_pixels/mae
freetimegs-dense-coarse,5000,0,0.0,20.525613020124553,20.92625300500742,0.4173562104503314,0.0887255339572827
freetimegs-dense-coarse,5000,1,0.04,20.723033669660126,21.151726995700322,0.391243909796079,0.08490393124520779
freetimegs-dense-coarse,5000,2,0.08,20.83227976988083,21.270725627700738,0.38004540900389355,0.08238671595851581
freetimegs-dense-coarse,5000,3,0.12,20.903573355684433,21.342486205431808,0.37221868832906085,0.08233522313336532
freetimegs-dense-coarse,5000,4,0.16,20.947228637154325,21.3686718525273,0.368217296898365,0.08242166539033254
freetimegs-dense-coarse,5000,5,0.2,20.966077434713494,21.395790397092984,0.36288603643576306,0.0853462666273117
freetimegs-dense-coarse,5000,6,0.24,20.854523472909737,21.269095321913525,0.3701422909895579,0.09182615329821904
freetimegs-dense-coarse,5000,7,0.28,21.000915501015395,21.583438514581037,0.3598728800813357,0.079427195712924
freetimegs-dense-coarse,5000,8,0.32,21.10324840770498,21.596063109736086,0.36493917802969617,0.07761557772755623
freetimegs-dense-coarse,5000,9,0.36,21.1621627843055,21.671540289337273,0.3615148589015007,0.07731558444599311
freetimegs-dense-coarse,5000,10,0.4,21.17277113194496,21.666489910658917,0.35932285338640213,0.0767062238107125
freetimegs-dense-coarse,5000,11,0.44,21.18692025997446,22.095161064989277,0.34617649018764496,0.07558874785900116
freetimegs-dense-coarse,5000,12,0.48,21.18660859629579,22.121043853719975,0.350031999250253,0.07534758870800336
freetimegs-dense-coarse,5000,13,0.52,21.20539745106013,22.877799413448884,0.3380928561091423,0.07611549024780591
freetimegs-dense-coarse,5000,14,0.56,21.152190697426203,22.81235082703878,0.34065502633651096,0.0773140632857879
freetimegs-dense-coarse,5000,15,0.6,21.119203596645303,22.166927476067237,0.3640947292248408,0.07755638596912225
freetimegs-dense-coarse,5000,16,0.64,21.088587382024578,22.884324748565163,0.35217928886413574,0.08060660834113757
freetimegs-dense-coarse,5000,17,0.68,21.055640678203666,22.846114031698043,0.35252166787783307,0.08170302957296371
freetimegs-dense-coarse,5000,18,0.72,20.950794156665783,22.70337382572317,0.36650512119134265,0.08665368892252445
freetimegs-dense-coarse,5000,19,0.76,20.78103120060542,22.46701106836735,0.3857935890555382,0.09719713094333808
freetimegs-dense-coarse,5000,20,0.8,20.580796871253234,21.55933943758738,0.42911680042743683,0.11211585750182469
freetimegs-dense-coarse,5000,21,0.84,20.3906058238955,21.311415202276613,0.4537461002667745,0.12707069205741087
freetimegs-dense-coarse,5000,22,0.88,20.328012739776334,21.19777242955207,0.461102657020092,0.13005483212570348
freetimegs-dense-coarse,5000,23,0.92,20.39727982643001,21.792257900585117,0.4406397019823392,0.12187504582107067
freetimegs-dense-coarse,5000,24,0.96,20.590178416028774,22.010565428030073,0.41532766073942184,0.10787341184914112
freetimegs-dense-coarse,5000,25,1.0,20.801018691556866,22.319503335432536,0.38270222892363864,0.09499569796025753
freetimegs-dense-coarse,5000,26,1.04,20.92484590181392,22.507097301869425,0.3655119463801384,0.08901979463795821
freetimegs-dense-coarse,5000,27,1.08,20.980903978771398,22.54176508980062,0.35744840651750565,0.08700775355100632
freetimegs-dense-coarse,5000,28,1.12,21.000281652131996,21.826363646391414,0.3689661771059036,0.08703009660045306
freetimegs-dense-coarse,5000,29,1.16,21.030573939966605,21.474348680752485,0.3807222619652748,0.08680751050511996
freetimegs-dense-coarse,5000,30,1.2,21.06605498409314,21.5135092076361,0.37658242136240005,0.08441079283754031
freetimegs-dense-coarse,5000,31,1.24,21.09243163936708,21.52616153388979,0.3729520117243131,0.0836443987985452
freetimegs-dense-coarse,5000,32,1.28,21.120014481484027,21.535958064906687,0.369394284983476,0.0822910958280166
freetimegs-dense-coarse,5000,33,1.32,21.115461327335634,21.50306232459354,0.36875493576129276,0.08218630403280258
freetimegs-dense-coarse,5000,34,1.36,21.130861251605314,21.52550970376427,0.3650544186433156,0.08102852354447047
freetimegs-dense-coarse,5000,35,1.4,21.114174731993142,21.46704838108093,0.3696138635277748,0.07999360995988052
freetimegs-dense-coarse,5000,36,1.44,21.09499540261392,21.798163493447145,0.3582699696222941,0.08155931470294793
freetimegs-dense-coarse,5000,37,1.48,21.09788155153471,21.79196230298489,0.35501206417878467,0.08152509915332
freetimegs-dense-coarse,5000,38,1.52,21.089951913089017,21.550694929568856,0.364372581243515,0.0822027437388897
freetimegs-dense-coarse,5000,39,1.56,21.06833918519435,21.503696648772678,0.3647993529836337,0.0820577684789896
freetimegs-dense-coarse,5000,40,1.6,21.044503764991664,21.488529852813734,0.3676404481132825,0.08096334648629029
freetimegs-dense-coarse,5000,41,1.64,20.996817134038757,21.768975650225503,0.35897188633680344,0.08203816848496596
freetimegs-dense-coarse,5000,42,1.68,20.963280688357322,21.726507125476665,0.35639114181200665,0.08231250072518985
freetimegs-dense-coarse,5000,43,1.72,20.952830407958686,21.7182414561551,0.35651059697071713,0.08030267432332039
freetimegs-dense-coarse,5000,44,1.76,20.943608444978754,21.43213646352884,0.3691711326440175,0.07978777028620243
freetimegs-dense-coarse,5000,45,1.8,20.890722781907517,21.36093484009978,0.3764648338158925,0.07877388969063759
freetimegs-dense-coarse,5000,46,1.84,20.842582909537015,21.322319874708434,0.37771861006816226,0.07882926364739735
freetimegs-dense-coarse,5000,47,1.88,20.765440824199548,21.248970180166697,0.3873905837535858,0.08004350339372952
freetimegs-dense-coarse,5000,48,1.92,20.61419125214954,21.094328862364573,0.40173618743817013,0.08243372415502866
freetimegs-dense-coarse,5000,49,1.96,20.396060683394417,20.859681996753004,0.424281674126784,0.0877879448235035
freetimegs-dense-coarse,10000,0,0.0,22.57862174066062,23.206070664714975,0.23645968611041704,0.06719869220008452
freetimegs-dense-coarse,10000,1,0.04,22.762798766710805,23.42318256485165,0.22415228560566902,0.06469494414826234
freetimegs-dense-coarse,10000,2,0.08,22.883691862385415,23.559756501196624,0.2162188527484735,0.06308678227166335
freetimegs-dense-coarse,10000,3,0.12,22.978598121393617,23.655626577883282,0.2100615600744883,0.06297825432072084
freetimegs-dense-coarse,10000,4,0.16,22.98021266088265,23.635909380647806,0.2108538548151652,0.06436185445636511
freetimegs-dense-coarse,10000,5,0.2,22.944238550652138,23.60431215164018,0.21169812977313995,0.0680395495146513
freetimegs-dense-coarse,10000,6,0.24,22.719909673997876,23.360038475432308,0.214146605382363,0.07760872753957908
freetimegs-dense-coarse,10000,7,0.28,22.987023870297673,23.854270685560493,0.20451818530758223,0.06110894617935022
freetimegs-dense-coarse,10000,8,0.32,23.185487013208267,23.998063947348268,0.20089146370689073,0.05887448601424694
freetimegs-dense-coarse,10000,9,0.36,23.226316314000584,24.066565117689603,0.19986921300490698,0.05887534935027361
freetimegs-dense-coarse,10000,10,0.4,23.2345233502692,24.058298177279198,0.19674413899580637,0.0591383765762051
freetimegs-dense-coarse,10000,11,0.44,23.20504797124837,24.45274439707406,0.1917106236020724,0.059061624420185886
freetimegs-dense-coarse,10000,12,0.48,23.174751980750585,24.458701877640504,0.19309690594673157,0.05984003655612469
freetimegs-dense-coarse,10000,13,0.52,23.167594079529547,24.995148181074576,0.18878948440154394,0.06053727958351374
freetimegs-dense-coarse,10000,14,0.56,23.143203331777002,24.95780364335726,0.18740353360772133,0.06065734848380089
freetimegs-dense-coarse,10000,15,0.6,23.107544408508932,24.45646481378435,0.20681215574344,0.05974390202512344
freetimegs-dense-coarse,10000,16,0.64,23.074137341855643,25.000125828114655,0.19946185126900673,0.06291424855589867
freetimegs-dense-coarse,10000,17,0.68,22.99433240036019,24.902516954176566,0.20514998957514763,0.06505539361387491
freetimegs-dense-coarse,10000,18,0.72,22.91058965052573,24.797785758223753,0.21321886653701463,0.06906842906028032
freetimegs-dense-coarse,10000,19,0.76,22.748112729203612,24.57583346777339,0.22446595256527266,0.077920475974679
freetimegs-dense-coarse,10000,20,0.8,22.4719740033165,23.70816848813475,0.24993697429696718,0.09557500916222732
freetimegs-dense-coarse,10000,21,0.84,22.13216377846545,23.256827166989684,0.2725871801376343,0.11659579661985238
freetimegs-dense-coarse,10000,22,0.88,22.01964225824807,23.060546934302987,0.28261858100692433,0.12214243846635024
freetimegs-dense-coarse,10000,23,0.92,22.175686774481434,23.62615636710445,0.26802627990643185,0.1095082884033521
