arm,update_center,mean,seed0,seed1,seed2,fitted_tail
stg-full,5250.5,0.05536955515295267,0.05578728368878365,0.05510055416822433,0.055220827601850035,
stg-full,5750.5,0.05461012774954239,0.05500288813561201,0.05495645167678594,0.05387104343622923,
stg-full,6250.5,0.06005442454169194,0.060395089969038966,0.060364922672510146,0.059403260983526704,
stg-full,6750.5,0.05465356586873532,0.0551235755905509,0.05467217764258385,0.05416494437307119,
stg-full,7250.5,0.054043523175021015,0.05453178714960814,0.05407079212367535,0.05352799025177955,
stg-full,7750.5,0.053292723571260775,0.05341625963896513,0.05352066437900067,0.05294124669581652,
stg-full,8250.5,0.053055184848606586,0.05313697644323111,0.05360356556624174,0.05242501253634691,
stg-full,8750.5,0.052865550532937046,0.05292644509673119,0.05358064775913954,0.052089558742940426,
stg-full,9250.5,0.05231972473859787,0.052623192228376865,0.0526806875243783,0.051655294463038445,
stg-full,9750.5,0.05196193150679271,0.05210157696157694,0.05229079193621874,0.05149342562258243,
stg-full,10250.5,0.053516461096704014,0.05420637526363135,0.05377180966734886,0.052571198359131814,
stg-full,10750.5,0.052625764002402625,0.053506735891103746,0.05264310448616743,0.051727451629936694,
stg-full,11250.5,0.05196941142777602,0.05253638504445553,0.05237718191742897,0.05099466732144356,
stg-full,11750.5,0.05199817417313655,0.05250775346159935,0.052120174691081045,0.05136659436672926,
stg-full,12250.5,0.05164878446360429,0.052168559163808824,0.051944470480084416,0.05083332374691963,
stg-full,12750.5,0.05151575295130412,0.05158813305199146,0.052393114127218726,0.05056601167470217,
stg-full,13250.5,0.05145038660367329,0.052271801248192785,0.0518048502355814,0.05027450832724571,
stg-full,13750.5,0.0507957948744297,0.051392405964434146,0.050698815561831,0.05029616309702396,
stg-full,14250.5,0.05089943469067415,0.051472077503800395,0.0510501956641674,0.05017603090405464,
stg-full,14750.5,0.05045359831551711,0.051144885212183,0.050891335099935535,0.049324574634432794,
stg-full,15250.5,0.05047061091661453,0.05088223970681429,0.050742878131568435,0.049786714911460875,
stg-full,15750.5,0.05029143881797791,0.051442406728863715,0.0500526090785861,0.049379300646483895,
stg-full,16250.5,0.05020993281155824,0.05101924390345812,0.050442600324749946,0.04916795420646668,
stg-full,16750.5,0.05002217073738575,0.05099788630753756,0.04953819127380848,0.049530434630811214,
stg-full,17250.5,0.05020332608868678,0.05084265367686749,0.05017092400044203,0.04959640058875084,
stg-full,17750.5,0.04972444805502892,0.05018841447681189,0.04995998498797417,0.04902494470030069,
stg-full,18250.5,0.04981457643707593,0.05057793528586626,0.04964377577602863,0.04922201824933291,
stg-full,18750.5,0.049890141040086745,0.05012938172370195,0.05026217433065176,0.04927886706590653,
stg-full,19250.5,0.049670906911293666,0.050117505237460135,0.04990988067537546,0.0489853348210454,
stg-full,19750.5,0.04961902076750994,0.05043345899879932,0.04949393141269684,0.04892967189103365,
stg-full,20250.5,0.0494800277724862,0.04983493477106094,0.049797899834811685,0.048807248711585996,0.04946246187329421
stg-full,20750.5,0.04937623232354721,0.05012513639777899,0.04909066830575466,0.04891289226710796,0.0493796371170694
stg-full,21250.5,0.04945530819644531,0.050082236014306544,0.04971608603745699,0.048567602537572384,0.04929979278138594
stg-full,21750.5,0.049302010481556253,0.0502908431738615,0.04925292572379112,0.048362262547016144,0.04922275519510366
stg-full,22250.5,0.04937360278020303,0.04953792245686054,0.04974529956281185,0.04883758632093668,0.04914836450270536
stg-full,22750.5,0.04880701835701864,0.04954642104357481,0.04896517433226109,0.047909459695219994,0.04907647328424491
stg-full,23250.5,0.04913788243631522,0.04968170457333326,0.049025129191577435,0.04870681354403496,0.04900694534000756
stg-full,23750.5,0.04884899984548489,0.04929637693613768,0.049057196043431756,0.048193426556885244,0.04893965461715359
stg-full,24250.5,0.048653510197997095,0.04897319928556681,0.04904454804211855,0.047942783266305924,0.048874484259159044
stg-full,24750.5,0.04884335106611251,0.04946625193208456,0.04874397398531437,0.04831982728093862,0.04881132576179697
stg-full,25250.5,0.048838577335079514,0.04964139081537724,0.04849351454526186,0.04838082664459944,0.04875007822183514
stg-full,25750.5,0.04853670429935058,0.04862692561000585,0.04888937620073557,0.04809381108731031,0.04869064766665511
stg-full,26250.5,0.04876385306318601,0.049206471376121046,0.0490614221021533,0.048023665711283685,0.04863294645469458
stg-full,26750.5,0.048456741973757746,0.048971566572785376,0.048564887024462225,0.04783377232402563,0.0485768927380415
stg-full,27250.5,0.04840170263002316,0.04919227502495051,0.04818105555325747,0.047831777311861515,0.048522409979710204
stg-full,27750.5,0.04808986711253723,0.04823591344803572,0.04830255411565304,0.04773113377392292,0.04846942651914652
stg-full,28250.5,0.04859466678152482,0.048971383072435856,0.0487735109552741,0.04803910631686449,0.04841787518037161
stg-full,28750.5,0.04831842733174563,0.04877035155147314,0.04841068460047245,0.047774245843291284,0.048367692917908586
stg-full,29250.5,0.04828747050712506,0.048797722280025484,0.04850877413153648,0.04755591510981321,0.04831882049626272
stg-full,29750.5,0.04824983895073334,0.04873716848343611,0.048282160058617594,0.04773018831014633,0.04827120219926305
stg-full,30250.5,0.04826244108130534,0.04873312896490097,0.048677814036607744,0.04737638024240732,0.04822478556603383
stg-full,30750.5,0.04820914294073978,0.04882563957571983,0.04805900070816278,0.04774278853833675,0.048179521150761025
