arm,iteration,split,metric,training_seconds,mean,lower,upper,seeds,blocks
freetimegs-dense-coarse,5000,heldout-camera,full/psnr,594.129618949315,20.92685008810896,20.77526034356992,21.055226904167377,3,10
freetimegs-dense-coarse,5000,heldout-camera,full/ssim,594.129618949315,0.6899128906925519,0.6786031869327027,0.6985031457468867,3,10
freetimegs-dense-coarse,5000,heldout-camera,full/lpips_alex,594.129618949315,0.39995427901546166,0.3865404949970544,0.4176230142166217,3,10
freetimegs-dense-coarse,5000,heldout-camera,dynamic/psnr,594.129618949315,21.729864177690402,21.46086092017083,22.026462355260914,3,10
freetimegs-dense-coarse,5000,heldout-camera,dynamic/ssim,594.129618949315,0.7086706935365993,0.6983932113101083,0.7175709776952861,3,10
freetimegs-dense-coarse,5000,heldout-camera,dynamic/lpips_alex,594.129618949315,0.37600354641675954,0.36312251858413225,0.39274848335981377,3,10
freetimegs-dense-coarse,5000,heldout-camera,motion_pixels/psnr,594.129618949315,18.320262239613555,17.789270116142013,18.708831459685566,3,10
freetimegs-dense-coarse,5000,heldout-camera,motion_pixels/mae,594.129618949315,0.08630231869717438,0.08092162142011027,0.09417303933016954,3,10
freetimegs-dense-coarse,5000,heldout-camera,temporal_difference_mae,594.129618949315,0.017170680894826852,0.016774816275729486,0.01759718558141806,3,10
freetimegs-dense-coarse,5000,temporal-interpolation,full/psnr,594.129618949315,21.161879205065887,21.14970354938529,21.183112401259613,3,1
freetimegs-dense-coarse,5000,temporal-interpolation,full/ssim,594.129618949315,0.6595046932167477,0.6565709249178568,0.6620995906988779,3,1
freetimegs-dense-coarse,5000,temporal-interpolation,full/lpips_alex,594.129618949315,0.4608707084920671,0.4583673906326294,0.4640963254372279,3,1
freetimegs-dense-coarse,5000,temporal-interpolation,dynamic/psnr,594.129618949315,21.39228021981326,21.373920715315435,21.40899796795704,3,1
freetimegs-dense-coarse,5000,temporal-interpolation,dynamic/ssim,594.129618949315,0.6686239666408963,0.6666020123163859,0.6704875953992208,3,1
freetimegs-dense-coarse,5000,temporal-interpolation,dynamic/lpips_alex,594.129618949315,0.434809965160158,0.43262631595134743,0.4370888668298722,3,1
freetimegs-dense-coarse,5000,temporal-interpolation,motion_pixels/psnr,594.129618949315,16.541956192264262,16.502227172890258,16.59902997071289,3,1
freetimegs-dense-coarse,5000,temporal-interpolation,motion_pixels/mae,594.129618949315,0.11497774475150639,0.11391570299863814,0.11598395804564159,3,1
freetimegs-dense-coarse,5000,temporal-interpolation,temporal_difference_mae,594.129618949315,0.017779268241590925,0.017497718116889396,0.018024434863279263,3,1
freetimegs-dense-cropped,5000,heldout-camera,full/psnr,587.6219967123276,20.966716200426518,20.78550512335576,21.12750758789564,3,10
freetimegs-dense-cropped,5000,heldout-camera,full/ssim,587.6219967123276,0.6899389553070068,0.6782380290304622,0.6985558651884397,3,10
freetimegs-dense-cropped,5000,heldout-camera,full/lpips_alex,587.6219967123276,0.39920543938875197,0.38566194378460444,0.41815232328201324,3,10
freetimegs-dense-cropped,5000,heldout-camera,dynamic/psnr,587.6219967123276,21.75484019650117,21.490535228127264,22.06561212059518,3,10
freetimegs-dense-cropped,5000,heldout-camera,dynamic/ssim,587.6219967123276,0.7087477179368338,0.6981548080121477,0.7178629715070128,3,10
freetimegs-dense-cropped,5000,heldout-camera,dynamic/lpips_alex,587.6219967123276,0.37474508732557293,0.36137729666878776,0.39182485832770664,3,10
freetimegs-dense-cropped,5000,heldout-camera,motion_pixels/psnr,587.6219967123276,18.25464235392231,17.721638804177427,18.638397192371205,3,10
freetimegs-dense-cropped,5000,heldout-camera,motion_pixels/mae,587.6219967123276,0.08759523129711551,0.08204452484970291,0.09588966912745188,3,10
freetimegs-dense-cropped,5000,heldout-camera,temporal_difference_mae,587.6219967123276,0.01729429847638433,0.016818737442799218,0.01776629240741022,3,10
freetimegs-dense-cropped,5000,temporal-interpolation,full/psnr,587.6219967123276,21.12242989353204,21.04550771482285,21.1890262295052,3,1
freetimegs-dense-cropped,5000,temporal-interpolation,full/ssim,587.6219967123276,0.6577253409226735,0.6555708980560303,0.6615201505025228,3,1
freetimegs-dense-cropped,5000,temporal-interpolation,full/lpips_alex,587.6219967123276,0.46344413267241585,0.4617835007111231,0.4656594109535217,3,1
freetimegs-dense-cropped,5000,temporal-interpolation,dynamic/psnr,587.6219967123276,21.351465922625124,21.286988136596424,21.397707535245814,3,1
freetimegs-dense-cropped,5000,temporal-interpolation,dynamic/ssim,587.6219967123276,0.6669001633591122,0.6648819780349732,0.6695861732959747,3,1
freetimegs-dense-cropped,5000,temporal-interpolation,dynamic/lpips_alex,587.6219967123276,0.43629516667789886,0.43611512978871664,0.43662320733070376,3,1
freetimegs-dense-cropped,5000,temporal-interpolation,motion_pixels/psnr,587.6219967123276,16.386159615098318,16.304252949333527,16.524466460932043,3,1
freetimegs-dense-cropped,5000,temporal-interpolation,motion_pixels/mae,587.6219967123276,0.1177543545431561,0.11564048245549202,0.11904040093223255,3,1
freetimegs-dense-cropped,5000,temporal-interpolation,temporal_difference_mae,587.6219967123276,0.017893263004306287,0.01750908928612868,0.01823455278451244,3,1
freetimegs-sparse,5000,heldout-camera,full/psnr,136.58270004799124,19.216342793439008,19.079252944417505,19.347038390395113,3,10
freetimegs-sparse,5000,heldout-camera,full/ssim,136.58270004799124,0.6483063623309135,0.6440246961712837,0.6519158179884155,3,10
freetimegs-sparse,5000,heldout-camera,full/lpips_alex,136.58270004799124,0.4723670310278734,0.4619714385531843,0.48331608658159775,3,10
