arm,iteration,split,metric,training_seconds,mean,lower,upper,seeds,blocks
freetimegs-sparse,5000,heldout-camera,full/psnr,136.58270004799124,19.216342793439008,19.079252944417505,19.347038390395113,3,10
freetimegs-sparse,5000,heldout-camera,full/ssim,136.58270004799124,0.6483063623309135,0.6440246961712837,0.6519158179884155,3,10
freetimegs-sparse,5000,heldout-camera,full/lpips_alex,136.58270004799124,0.4723670310278734,0.4619714385531843,0.48331608658159775,3,10
freetimegs-sparse,5000,heldout-camera,dynamic/psnr,136.58270004799124,19.642361572825237,19.447166503736216,19.857159785959904,3,10
freetimegs-sparse,5000,heldout-camera,dynamic/ssim,136.58270004799124,0.6614472613732019,0.6554394857585429,0.667631975154082,3,10
freetimegs-sparse,5000,heldout-camera,dynamic/lpips_alex,136.58270004799124,0.4634488639235496,0.45328744763880974,0.474518851240476,3,10
freetimegs-sparse,5000,heldout-camera,motion_pixels/psnr,136.58270004799124,11.778539804058434,11.452003006785706,12.12883543348979,3,10
freetimegs-sparse,5000,heldout-camera,motion_pixels/mae,136.58270004799124,0.20869118971129255,0.197084571989874,0.21921769567082325,3,10
freetimegs-sparse,5000,heldout-camera,temporal_difference_mae,136.58270004799124,0.009378613152075558,0.009047510181087999,0.009725013607045791,3,10
freetimegs-sparse,5000,temporal-interpolation,full/psnr,136.58270004799124,19.786946124194845,19.64417321092748,19.938592170328786,3,1
freetimegs-sparse,5000,temporal-interpolation,full/ssim,136.58270004799124,0.6558993248144787,0.6523530705769857,0.6579119654496511,3,1
freetimegs-sparse,5000,temporal-interpolation,full/lpips_alex,136.58270004799124,0.46974681589338513,0.4584346367915471,0.48116263031959533,3,1
freetimegs-sparse,5000,temporal-interpolation,dynamic/psnr,136.58270004799124,19.664453137754666,19.499818820108796,19.79375605842047,3,1
freetimegs-sparse,5000,temporal-interpolation,dynamic/ssim,136.58270004799124,0.6573047889603508,0.6546175241470337,0.6597125899791717,3,1
freetimegs-sparse,5000,temporal-interpolation,dynamic/lpips_alex,136.58270004799124,0.46534465591112767,0.45614416023095455,0.47660527884960174,3,1
freetimegs-sparse,5000,temporal-interpolation,motion_pixels/psnr,136.58270004799124,11.55498425398541,11.223820714182771,11.760157628366889,3,1
freetimegs-sparse,5000,temporal-interpolation,motion_pixels/mae,136.58270004799124,0.21570021089580324,0.21099750886360805,0.22451389590899148,3,1
freetimegs-sparse,5000,temporal-interpolation,temporal_difference_mae,136.58270004799124,0.0090101640813777,0.008895036834292113,0.009135602205060423,3,1
stg-full,5000,heldout-camera,full/psnr,223.44364889833378,23.520841090632196,23.41511465454572,23.63968787934341,3,10
stg-full,5000,heldout-camera,full/ssim,223.44364889833378,0.7815884403387705,0.7797735192502536,0.7831303477833669,3,10
stg-full,5000,heldout-camera,full/lpips_alex,223.44364889833378,0.2699273591736952,0.26804001989526055,0.27186107996540765,3,10
stg-full,5000,heldout-camera,dynamic/psnr,223.44364889833378,23.456499034343707,23.335302370791613,23.59995946198514,3,10
stg-full,5000,heldout-camera,dynamic/ssim,223.44364889833378,0.7837840896844863,0.7822903506060441,0.7852611338471371,3,10
stg-full,5000,heldout-camera,dynamic/lpips_alex,223.44364889833378,0.2724407534549634,0.2690916266379257,0.2758644122785578,3,10
stg-full,5000,heldout-camera,motion_pixels/psnr,223.44364889833378,13.74235956306498,13.350911051480908,14.131631880182585,3,10
stg-full,5000,heldout-camera,motion_pixels/mae,223.44364889833378,0.15580598367999,0.14579651510994882,0.16545278664305807,3,10
stg-full,5000,heldout-camera,temporal_difference_mae,223.44364889833378,0.007494245474420797,0.007137327332282437,0.00788889923711152,3,10
stg-full,5000,temporal-interpolation,full/psnr,223.44364889833378,24.504084746141938,24.387396826977838,24.637428331709586,3,1
stg-full,5000,temporal-interpolation,full/ssim,223.44364889833378,0.8180596061547597,0.816493010520935,0.8200304313500723,3,1
stg-full,5000,temporal-interpolation,full/lpips_alex,223.44364889833378,0.2511450582742691,0.24673164755105972,0.25397574563821157,3,1
stg-full,5000,temporal-interpolation,dynamic/psnr,223.44364889833378,23.750024260774737,23.64824562459169,23.874971181637438,3,1
stg-full,5000,temporal-interpolation,dynamic/ssim,223.44364889833378,0.8056341865327624,0.8039521996180218,0.8071829617023468,3,1
stg-full,5000,temporal-interpolation,dynamic/lpips_alex,223.44364889833378,0.2669024658534262,0.26218525469303133,0.2705319340030352,3,1
stg-full,5000,temporal-interpolation,motion_pixels/psnr,223.44364889833378,12.97718981525115,12.792458547414336,13.087847572389732,3,1
stg-full,5000,temporal-interpolation,motion_pixels/mae,223.44364889833378,0.1751845035288069,0.17260205765565237,0.1783719057838122,3,1
stg-full,5000,temporal-interpolation,temporal_difference_mae,223.44364889833378,0.007079842532726212,0.007049040213072052,0.007116722071077675,3,1
